sentiment,STEMMED
-1,ketawa jelek banget
1,request foto ktp pakai filter ig muka deket banget kamera njir jelek banget
1,nyoba pake kamera analog hasil jelek sebel susah yak
-1,nickname jelek anjing
1,jelek
-1,emang udah jelek jelek pake banget banget kali
1,sayang banget provider tri sinyal jelek banget suka trouble marah
1,halo tolong timeline hpku cemplung wc speakernya jelek banget gimana
1,cewe samain ikan aja disamain sam kucing gapunya akal analogi jelek
-1,jelek bangett
-1,iya bodo jelek
1,tolong cek sinyal jelek banget
-1,komen ava jelek
1,jelek ngambek
-1,tolong jelek banget
1,uridu jelek banget sinyal
-1,anjing banget jelek umur hidup
-1,udah jelek umur hidup anjing dasar
-1,handsfree turut mahal itu tahan product nya gagal a
1,meme jelek
-1,udah jelek umur hidup
-1,mu maxim takut maxim dpt nama rating jelek kaya usaha
1,tuhan orang orang pasrah foto ktp nya jelek
-1,jelek film plot twistnya rasa plot twist endingnya gantung maksa
1,ribut jelek nan gendut gamau usaha diet kah the real insecure oran
1,idk basically bawa agama jelek udah dijelasin orang reply
-1,jelek banget
-1,jelek banget
1,malu ngetwit tulis jelek takut baca
1,im so sorry ngomongin jelek cursing nmx isu
-1,jelek jelek bangkang jelek pendek
-1,pikir aja anak orang diginiin nang jelek
-1,lawa jelek playable undur
-1,jelek kayak wibu
1,kayak kalo dark mode tampil jelek gituu warna masuk pilih estetika
1,typingnya jelek
1,hmm betull cuaca jelek flu
-1,jelek banget anjing
-1,narasi maaf jelek
1,hes human too woii gapernah jelek
1,prny jelek banget
-1,jelek banget anjing
-1,jelek banget anjay
-1,cowo jelek argumen jelek opini jelek replies tweet
1,huhu sebenernya kasi liat zuber goh v shem drawnya jelek
-1,iya bener rumah sinyal jelek banget emang
-1,emang jelek dei jelek banget
1,geleng nang jelek last scene udah spill duluan
-1,jelek banget ituu
-1,ketawa nya jelek
-1,jelek banget
-1,  jelek
1,agakny akun jelek ar kena limit
1,jaring rumah jelek banget
-1,orang miskin kultural
-1,bangsat jelek banget
-1,jelek demit
1,samaa tulis jelek
-1,jelek banget ava
1,iya kak wifinya jelek
-1,apps jelek kitabmainin
1, iyasih kao substatnya bagus substat khawatir substat jelek
-1,mimpi jelek kali
-1,jelek iya
-1,cewe cantik cewe jelek bikin pusing
1,jelek banget pr nya
-1,bales bucinan jelek
1,alas timnas gamau main kalimantan akses jelek latih jelek stad
1,bener gausah malu nganggur taun gara kelas nilai jelek
1,item putih jelek banget foto copyan
-1,jelek banget iya
-1,nang jelek roxana kambek
1,igku post story video hp full layar gepeng anjing jelek banget tolong
1,senggol haji kritik nyinyir tim
1,serius gadaa niat jelek like nyindir or something ngapa orang singgung baper leogirl
1,salah pilih warna anjing jelek banget
-1,jelek
-1,allah kak jelek
-1,gila baca replynya mash seks otak manusia a little bit shock muka kaya badak udah jelek
-1,kenal anjing typo jelek
-1,males on sana hawa nya jelek
-1,kalo mana ajak boro ajak langsung tinggal alesannya nolak gamau gausa 
-1,ah anjing udah stress beneran huruf
1,spicles banget sebut anjing gila
-1,mati aja anjing
1,terror maling pake telpon wassap nyala internetnya bunyiin
-1,anjing sakit banget to 
1,sial anjing
-1,benci orang lemah benci anjing
-1,sad banget anjing
-1,anjing bikin darah
-1,nyali bacod anjing rabies hina ulama nyali banci laknat sok an ngomong islam hina ulama
-1,malu maluin anjing
-1,aneh anjing idup susah tambahin susah anjing
-1,dih anjing trauma gausah bawa bawa anak
1,iya anjing ui undip tamggal jam kesel banget
-1,susah anjing temen gay cium mulu moga cium lele
-1,sakit jiwa anjing ngurusin sexualitas orang get the hell out otak kudu kuras
-1,anjing mengonggong otak pecah belah rakyat anjing qodari
1,kesel sumpah main inceranku dapet anjing game tetep tepuk belah tangan
-1,sedih banget anjing
1,motivasi bocil buka paksa pintu mobil ampe alarm mobil bunyi abis lari
-1,bajing mana jimin hate gara main club beda nya manusia anjing
-1,iya anjing takut typo
-1,pengen ngomong kasar anjing anjing anjing
1,sedia langsung hubung kondisi anjing operasi tumor payudara
1,butuh donor darah anjing kakak syarat sehat vaksin lengkap berat min kg ti
-1,anjing sek babi
-1,bingung banget anjing mana ahh ngentot aja
-1,faakk anjing salah pengen nyalahin orang
-1,anjing galbugalau brutal
-1,anjing musnah setan benci banget
-1,sebentar kurus sakit
1,tidur larut malam kurus
-1,gin sender tebengin orang kurus liat berat eh
1,anak susah makan kurus bunda sedih mrpro bantu atas ganggu susah mkan blh konsumsi usia thun
1,kalo lihat bentuk tubuh aneh dada pundak liat kurus gilir perut bawah kayak hamil a
1,kak kasihan dompet udah kurus krempeng
-1,permisi orang kurus
1,gering gaenak badan sakit kalo kurus kuru
1,inti apa makan kalo nyerang batin aja kurus
1,kurus lsm dki lepas saham usaha bir
-1,gemuk kurus kurus gemuk
1,openfollow for rp oprasi sedot lemak menit langsung kurus rl ahyougnk lemak poto
1,mikirnya jaring lemak kurus banget
1,daritadi ngetawain orang ciri nya tunggu kiris tunggu kurus tunggu kiri eh kurus
1,berat kat kurus
1,anda pola makan kacau kelas sempat kurus
-1,kaya sakit mental lupa nama udah kurus ngaku asa kurus gitu
1,ditakoni ngene mbe konco gr kurus tidur larut malam
-1,cita kurus makan mulu bingung audrey celana udah gaada muat uyy
-1,banget sender dikatain kurus banget usaha naikin berat badan nii doain yaa moga cepet naikk
-1,liat kurus
1,x khilaf tengok ig story noreen cakap kalo kurus jer gemuk la sedih ind
1,viggo kurus liat julang tiang listrik
1,iya yaa liat kurus kayak anak coba
1,mohon maaf bengkok kiri kriteria kurus masee
1,zahin tgh lakon orang zoo pegang ular ulat getah aja zahin ambil gambar
-1,yanan sender ttg body positivity yanan gemuk kurus tetep yanan kalo dikatain jel
1,cepet gemuk gimana bosen kurus mulu
-1,yakaann huhu udah kurus banget sedih
1,ulang buat buat kurus kurus
-1,ribut jelek nan gendut gamau usaha diet kah the real insecure oran
-1,nabilahjkt gendut
1,gendut lucu banget om ngemesin
1,lucuu jimin nya gendut banget
-1,pengen makan benyak mikir kalori takut gendut kea makan benyak berat badan gitu capekk
1,lucu perut nya gendut
-1,beli pakai muat gendut baju
-1,bosen bilang gendut takut bukti langsing konsultasi ahli pin a bba no
1,nyukur tau kucing kena hernia bulu emang lebat
-1,mampus gendut
-1,gendut banget pakai nyebelin banget mukanny
1,orang definisi makan gendut
-1,indra bekti gendut
1,gendut nyeret lumba
1,suap makan lezat apa ejek gendut maaf men
-1,suap makan lezat apa ejek gendut maaf hina sahabat chouji
-1,grey gendut
1,beli ayam balado ijo merah ayam bakar cincang gitu nama cumi gendut kikil jarang
1,om udah buka pake vpn tetep buka error gitu
1,yaallah dikatain gendut mulu orang
-1,udah gendut
1,gatau sender kesel alas gendut stress
-1,pendek gendut hidup
-1,konsisten ala nang dendam orang ngatain gendut gendut gendut orang s
-1,gendut
1,benerr lucu banget gendut kasein nitrat
-1,gendut banget
-1,dindaa sok ie bangke gendut pendek jelek
1,iii diet turunin kg mala gendut transfer aja kg
-1,tolak gapunya kucing gendut
1,kucing gendut kucing ras nyasar rumah
-1,gendut 
1,blom takut gendut
1,baca meng gendut endut maaf kak
1,mun nukar coba pasar sender tikung jembatan mesjid jam
-1,takut makan nasi takut gendut takut muntah orang bilang makan aja biar seha
1,wanita suka pria gendut gendut rekening jomblo baper
-1,mampus gendut
-1,temenku kurus ketemu selalu ngeluh gendut sadar orang hadap
1,ko gendut stress makan
-1,ngomong aja gendut
-1,gendut
-1,gendut
-1,gendut ucul bangett
1,ngakak ngaku gendut anjer
-1,cebol boongin gendut tauk
-1,ndilalah biyen gek medheng e thukul rabuk karo gendut saiki jebolane akeh
-1,gendut babelbas
-1,badan moko cimi bulet pendek gitu liat gendut
1,h grogi meong kak gendut ameen moga he nama puber
1,gendut rumah niat konsisten jadiin gendut tameng
1,urus gendut
1,ngerasa pola pikir aneh yuk urai ngerasa lebih bilang teman
1,benyak banget bulan langsung gendut
-1,duo hobi makan gendut gendut
-1,bayar aja gaduh benda makan masuk dlm perut gendang gendut tali
1,tim kalo pake oversize liat gendut
1,tolol piknik duit nyalain rejim ganti hp duit kaga salah rejim 
-1,lucu banget nikmat hidup tuduh hate speech ngl nya mantan mantan aduh tolol
-1,emang tolol maaf
-1,gatau gedeg sama model cewe gini menye gajelas aneh kalo laper cari
1,bisa nyolong gambar nana fansite tolol
1,sleepcall jam gatau bahas random pagi date gojek jam men
1,tolol indomaret udah sampe kasir pedenya lupa bawa uang bawa debit alhasil dlu kosan tolol
1,minggu udah mati belah
-1,maaf katain tolol habis emang beneran tolol
1,beli nice so harga rb pepet gowes earphone tinggal bekas niat
-1,liat tolol nya
-1,tolol banget anjing udah sore
-1,udah koreksi gameplay udah bilang sorry nya ngapa
1,bego wajib sholat tolol
-1,ngakak banget anjingg orang tolol napa laku aneh
-1,anjing susah beli minyak goreng pakai nik nama jalan memgonggong
-1,benci banget tai baca typingnya orang tolol
-1, politik identitas sok ngislami nyari ikut tolol kadal dasar setan ala
-1, ena ena dua pusing panik ngajak warga base tolol
-1,liat tolol nya presiden ngurus minyak goreng harga cabe bawang aja
-1,iya abis pensiun archon gagal atur uang abah zhongli putus buka usaha tenda bakso
-1,negara gagal kelola jebak hutang nyusahin rakyat
-1,stress hasil snmptn sbmptn gagal manusia
-1,tai gara strada nonton konser gagal bangsat
1,ampun sedih bener libur aja gagal mulu
-1,gagal coba
-1,gagal
1,melu alure ae mengko lek gagal dadi lawa evaluasi
1,udah jelasin kalimat gagal paham
1,handsfree turut mahal itu tahan product nya gagal a
1,cie otw gagal taruh
1,nama usaha nomor handphone alamat email kendala kini data gagal foto biometri
1,heskey morientes voronin crouch carroll balotelli benteke lambert solanke maaf lord origi
1,gagal ayah sosok ayah gagal kembali ibu
1,hrus irit kuota ni gara download dmd konser ni anjing gagal mlu jdinya boros banget
1,gagal makan milidi
1,rangkum dunia srilanka bangkrut gabisa bayar pns russia gagal bayar utang gara gara euroclear indon
1,hah ydm gagal yedam kuliah jihoon bilang fansign k
1,nurunin harga migor aja gagal
1,kak udah buka malam kalo punya udah dapet token bayar bayar gagal
1,gagal paham 
1,kali gagal
1,ubah iklim panen gagal 
1,makna gagal family tarik ambil main naturalisasi rana urus kim
1,perihal kendala gagal kini data informasi perlu klaim dana jamin
1,kak coba unblock gagal bayar
1,hujan gagal tarik masa pikir senggang
1,gagal gantang
1,gagal fokus wagub 
1,kali st time exam sangkut simpang jalan salah selekoh makan jalan jpj henti tepi
1,moody s konfirmasi rusia gagal bayar utang
1,coba coba gagal menerus laku trial and error tuk
1,gagal masuk negeri gagal masuk negeri lolos sbmptn snmptn snmpn mandiri gap year gagal
1,gagal henti buah koma ba it kalimat tempuh titik jumpa
1,atira gagal pake jilbab
1,rupiah selasa sore gagal tahan rp dolar as sariagri tani
1,proses proses proses proses usaha gagal bangun lagi jatuh kena suplex gapapa nama manusia
1,mantap anies simak video biar gx gagal fahan
1,gagal kt bukit
-1,manusia gagal
1,iseng nonton salah anime favorit singkat padat seru bikin gagal move on
1,kali lulus lesen auto st gagal nd gagal litar rd lulus
1,gagal kuliah
-1,sentil ego dikatain gagal mulu hanum
1,gagal cari salah orang ajar spy ulang salah
1,gagal laku coba
1,download mvnya pakai modem smartfren gantung atap nunggu jam terdownload gagal
1,wta shoope error kah gagal mulu sfu zonauang zonajajan
1,gagal tempur ksatria gagal tarik pedang
-1,anjing produk gagal ngevlog
-1,orang gagal paham usaha sukses
-1,salah laku nyamuk lolos geplakan tangan
1,udah bikin adon starter jam gatot alias gagal total gara gara lupa nambahin gula plus keding
-1,coba gagal 
1,puding gagal aih
1,dichat oa linenya daftar gagal tutup terus terk
1,gagal hanya ajar gagal alam
-1,gagal
-1,gagal motor time jpj jatuh titi cinta
1,galau gagal galau
1,coba register otp masalah typing otp masalah hasil tolong call cs gagal regist
1,coba daftar aplikasi aja gagal pake
1,duga kuat tahan beban keluarga ayah nekat sewa kuli panggul pasar
1,kalo angkat beban olahrga
-1,ga ada kyanya orang rumah bahagia kyanya beban nya hilang
1,belum beban idup benyak banget anjing
-1,beban tanggung selesai
-1,haduh gasadar beban
-1,remaja mabuk beban hidup
-1,tahu semut angkat beban kali tubuh
-1,pikir pikir beban banget yaa habis pikir
1,magesup doang beban pikir anjeng
1,tolong nambah nambahin beban idup
-1,emang beban
-1,posisi cari aja orang beban banget sumpah duit abis ngerasa ngerepotin banget
1,dikatain beban sama anak tiktok 
-1,beban banget
1,ketawa banget hobby beneran gemar nambahin beban sapa
-1,cewe beban
1,kenapa hilang beban upah diriku
-1,beban
1,bayi imunisasi beban ganda pandemik
-1,beban army tiktod
1,alhamdulillah allah beban ortu allah tau baget hamba
-1,sumpah beban banget baca ovt
1,plis nambah beban pikir sungguh umat manusia sulit manusia lainnya azab
1,takut beban mental
-1,mena nampak lelah kemari lepas beban beban peluk
-1,jt moga tembus mandiri biar beban
1,ortu lengkap sehat asa banget mikul beban butuh rumah udah gitu ortu
1,sampe semester beban aja anjing
1,hai im back akhirnyaa twitteran beban yaa wktu libur semester doang
-1,dear udah main lepas aja beban menang kecewa ko kalo kalah ekspekta
1,genesha operation buku the king k daftar sbmtn tiket kereta ke hotel bareng temen daftar
1,hidup aja udah beban fangirling beban gini
-1,beban keluarga
-1,berat apa beban hadap percaya lebih batas mampu eaw
-1,beban hidup aja udah ribet username sosmed ribet pusing
1,bun apa tanggung beban orang ikut apa
1,dosa gangguin orang beban
1,alhamdulillah finish for ecj beban kurang satu
-1,habis beban hidup abis sisa pc bablas nyoret aja
-1,beban
1,mama dek kerja gaada beban enteng banget hidup malam ovt mena
1,ajar biasa ajar ikhlas pergi ajar mel
1,mending main orang emang nganggep teammate beban sampah apa role mu
1,beda sender bawa beban hidup nambah
-1,beban
-1,taii nambah beban ultah deui anjiirrlah
1,wajib banget beban keluarga
-1,gada duit alhamdulilah nambah beban lemari buku
1,mereka milik beban pikir
1,beban pikir sudab hilang
-1,beban amat
1,udah stress beban beban stress
1,beban pikir daritadii
1,bener bangett nemenin jaman bocil alay sampe skrg beban hidup
1,jan banget kuwi utang beban
-1,beban keluarga
1,kalo beban timbang sbenarny
-1,beban rakyat
1,kurang beban kos rakyat 
1,bikin mikir emang pikir omong beban pikir orang bangsat
-1,beban keluarga
1,aduh sbnrnya takut diitung bimbel offline bimbel online qiupper 
-1,doa beban idup menk
-1,berani ngejumlah gagal semuaa wkwkw beban keluarga
1,allahu iya beban ini
1,pergi hangout beneran yaa sekarang temennya mulu ofc beban
-1,beban hidup
-1,emang anak beban ortu nikah sadar ajaa
1,sering cemas biar paranoid sampe gila pengecut
1,orang jepang keliru nyikapin nerjemahin kalimat maksud juang sampe habis 
-1,orang pengecut sampah liat
-1,langsung pengecut bicara jelek jelek belakang
-1,hina shanks pengecut 
-1,hipokrit sikap pengecut asap api
1,cupu cari lindung balik base muncul ribut sorry to say pengecut k
-1,mang pinter tolol goblog bencong pengecut ngomong sok
1,ishida kun tindas lemah lawan kuat pengecut bleach syquote
-1,pengecut nyali kaum sampah akwkaa
1,maaf joji ganti haluan kayak pengecut play kali iring ovt malam
-1,serah usaha nama pengecut
-1,cowo sopan santun banget kasar cewek tukang kompor gaya sombong 
-1,getir narasi kalah kuasa kalah get
-1,pengecut munafik
1,identitas suara pengecut manusia lemah
-1,liat nihh cebong anarkis tukang rusuh bodoh pengecut
-1,pengecut tau gamau ambil pilih gamau salah kalo pake pilih orang
-1,bilang aja takut anies presiden dasar pengecut
-1,laku udah kabur say biasaa playing victim tipe pengecut minger kabur
-1,rate matkilau sokong tegar khilaf manusia skeptik
-1,takut anis hitam putih bahaya abu orang munafik
-1,halah munafik ris
-1,cakap akhirat kubur padang mahsyar syurga neraka follow malu wei
-1,slam ktp gus islam munafik kalo islam tk mgkin makan daging babi hayoo ngomongin
-1,munafik
-1,negeri nya manusia munafik otak koruptor
-1,benci munafik suka orang
-1,sujud ma tuhan jam menit sembah sujud puji tipu
-1,munafik kalo doyan hey tempat kenal langsung men
-1,ansare sb aap ek munafik janet adme han aur munafikat inteha han state bank imf contro
-1,nama munafik
-1,gilir puruk langsung bohong dasar munafik
-1,munafik pasal wayang ni
-1,partaiknya keras benci mati parpol maling sapi benci k
-1,kalo ambil aja gausah munafik pura gamau tau malu udah ambil ajah gausah munafik
-1,munafik nya kaum kadrun kuatir pad merosot kasih jalan lha tutup
-1,munafik ho tum
-1,emang udah takdir negeri pimpin manusia munafik sok suci layk nya nabi bejat munafik
-1,munafik kalau sedih
-1,orang munafik beb bikin muak
-1,tipe manusia layak hidup munafik bohong
-1,orang munafik dapat update hari video poster ilmu jadwal gabung da
-1,golong munafik racun level alam semesta
-1,dengar filem mat kilau unsur unsur gangster munafik
-1,tenggelam anies nasdem aman nkri sebab pecah politis munafik
-1,pegang simpan tampar orang orang munafik gila jabat rebut
-1,perkara dance gitu doang allahuu gausa munafik tae buka baju kemaren aja demen anjing mnding fokus
-1,nama twitter ganti pantes pake nama khazanah udah tau haram leceh nabi muhammad eh
-1,locked orang munafik
-1,takda noh ayat munafik fitnah laga orang
-1,munafik simpan bokep dlm hard disk jaman skrg sapa
