slang,formal
gue,aku
gua,aku
gw,aku
w,aku
ak,aku
aq,aku
sy,aku
jd,jadi
km,kamu
lo,kamu
lu,kamu
km,kamu
kau,kamu
elu,kamu
ente,kamu
gak,tidak
ngga,tidak
nggak,tidak
ga,tidak
g,tidak
nda,tidak
gk,tidak
ngg,tidak
gpp,tidak apa-apa
jgn,jangan
ku,aku
dptin,mendapatkan
bole,boleh
tbtb,tiba-tiba
msk,masuk
tkut,takut
bgt,banget
bngt,banget
bru,baru
tl,timeline
yh,yah
pas,ketika
klo,kalau
kl,kalau
nder,sender
aj,aja
ush,usaha
yg,yang
kek,seperti
mcm,seperti
pen,pengen
nmpk,keliatan
gmn,bagaimana
dll,dan lain-lain
pls,tolong
tlong,tolong
tq,terimakasih
kadamg,kadang
tp,tapi
lg,lagi
ilang,hilang
ntar,nanti
nnti, nanti
nnt,nanti
asu,anjing
jd,jadi
ngamng,ngomong
mkn,makan
jgan,jangan
sp,siapa
tp,tapi
gt,gitu
saha,siapa
mls,males
lgi,lagi
lg,lagi
ajg,anjing
iy,iya
y,iya
sumph,sumpah
sumpqh,sumpah
bkn,bukan
ksn,kesana
sp,siapa
org,orang
jdi,jadi
jd,jadi
ank,anak
jrg,jarang
hrs,harus
bbrp,beberapa
kdg,kadang
jg,juga
kyk,seperti
hrs,harus
klw,kalau
kl,kalau
kli,kali
gtu,gitu
sksd,sok kenal sok dekat
bnyk,banyak
bnyak,banyak
mo,mau
udh,udah
mw,mau
sdh,sudah
bs,bisa
bsa,bisa
karna,karena
krn,karena
mrk,mereka
amp,sampai
smpai,sampai
mmg,memang
gag,gak
cm,cuma
santuy,santai
ktw,ketawa
ktawa,ketawa
mna,mana
mn,mana
ngelag,lama
anjir,anjing
tpi,tapi
gegara,karena
dl,dulu
kagak,tidak
rek,rekening
hepi,senang
disono,disana
fyp,tiktok
nih,ini
twt,twitter
acakadut,berantakan
co,cowo
ce,cewe
trs,terus
bpk,bapak
ktawa,ketawa
psti,pasti
dikit,sedikit
tak,tidak
je,aja
rata,rata-rata
qna,question and answer
fak,fuck
anjink,anjing
ogah,tidak mau
bcotny,bacot
trus,terus
bnr,benar
dn,dan
ap,apa
tott,tolol
btw,by the way
tgk,tengak
hooman,manusia
tggun,tunggu
blik,balik
bb,berat badan
sikit,sedikit
bat,banget
nk,mau
nak,mau
ataw,atau
mrk,mereka
tuir,tua
pernh,pernah
pon,pun
nk,mau
sbb,sebab
bner,benar
ttp,tetap
jwab,jawab
dr,dari
loudly crying face,sedih
iki,ini
muesti,harus
mangan,makan
jln,jalan
dhik,adik
adek,adik
amp,sampai
ja,aja
kdang,kadang
thinking face,bingung
kecik,kecil
hdh,haduh
gaosa,tidak usah
n,dan
sket,sakit
msi,masih
cw,cewe
boong,bohong
cm,cuma
anw,any way
spt,seperti
sj,saja
yank,sayang
yh,yah
mnyrah,menyerah
knp,kenapa
sma,sama
pke,pakai
emg,emang
tl,timeline
snyalnya,sinyalnya
anj,anjing
cust,customer
os,olshop
bgtt,banget
makany,makanya
assist,asisten
ttep,tetap
elo,kamu
ai,aku
kh,kah
inie,ini
bljr,belajar
sbm,SBMTN
tka,tes potensial akademik
ama,sama
sriuss,serius
pd,pada
lil,little
knalan,kenalan
anjrit,anjing
sll,selalu
skr,sekarang
lgsng,langsung
bgst,bangsat
smua,semua
u,kamu
loe,kamu
tnya,tanya
dom,domisili
kieu,ini
tkt,takut
tu,itu
turu,tidur
msalah,masalah
gngguan,gangguan
mkn,makan
diknsumsi,dikonsumsi
kk,kakak
punteun,permisi
t,itu
kot,ikut
bdn,badan
behahti,berarti
lgsg,langsung
soalny,soalnya
isuk,larut malam
iso,bisa
marake,membuat
kyknya,kayanya
pnykit,penyakit
mntal,mental
uda,udah
brasa,berasa
lgu,lagu
sbntr,sebentar
pdhal,padahal
ktnya,katanya
cyk,sayang
bsr,besar
mdh,mudah
grgr,karena
awak,aku
koq,kok
ckp,cakap
cba,coba
kluarga,keluarga
mlh,masalah
krna,karena
cpt,cepat
byk,benyak
krang,kurang
mukany,mukanya
wes,sudah
ss,screenshot
gpnya,gapunya
hndak,hendak
mmps,mampus
moo,mau
loe,kamu
dirunah,dirumah
ntah,tidak tahu
orng,orang
pny,punya
cwok,cowok
pdhl,padahal
td,tadi
pdhl,padahal
mff,maaf
mangkanya,makanya
nggk,tidak
smp,sampai
kbanyakan,kebanyakan
ud,udah
murce,murah
jing,anjing
lolz,lol
mksdnya,maksudnya
mksud,maksud
msih,masih
kliatan,keliatan
memg,memang
sbg,sebagai
nggak,tidak
cmn,cuma
kmrn,kemarin
dgn,dengan
msh,masih
tu,itu
fam,family
usa,usah
tdk,tidak
dpn,depan
syg,sayang
byk,banyak
beut,banget
ajgg,anjing
tdi,tadi
aje,aja
anjg,anjing
msh,masih
sgt,sangat
mjd,menjadi
yeke,iyakah
skrng,sekarang
bgitau,begitu
dgn,dengan
mrka,mereka
brani,berani
keq,seperti
drpd,daripada
utk,untuk
ato,atau
banyaj,banyak
req,request
jngan,jangan
kmu,kamu
guee,aku
pda,pada
silap,khilaf
monmaap, mohon maaf
gpny,gapunya
kucink,kucing
maap,maaf
keknya,sepertinya
bgus,bagus
maslahnya,masalahnya
jjur,jujur
ane,saya
orng2,orang
emng,emang
adlah,adalah
syiitt,shit
ngambeuk,ngambek
den,aku
awak,aku
ambo,aku
njritt,anjing
smngat,semangat
aaaammmiiiinnnn,amin
amiin,amin
sm,sama
anjay,anjing
anj,anjing
anjrit,anjing
anjrt,anjing
idk,i dont know
ngmg,ngomong
tamggal,tanggal
anjrit,anjing
hawt,hot
gablek,bodoh
uteuk,untuk
kieu,disini
tkt,takut
sp,siapa
min,minimal
ttg,tentang
ngakak,lucu
anjer,anjer
lbh,lebih